127.0.0.1 - - [03/Feb/2015:14:44:42 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:52 +0800] "GET /KenChatRoom/ HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:52 +0800] "GET /KenChatRoom/ext4/resources/css/ext-all.css HTTP/1.1" 200 239364
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:52 +0800] "GET /KenChatRoom/css/websocket.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:52 +0800] "GET /KenChatRoom/ext4/shared/example.css HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:52 +0800] "GET /KenChatRoom/websocket.js HTTP/1.1" 200 5822
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:52 +0800] "GET /KenChatRoom/ext4/ext-all-debug.js HTTP/1.1" 200 2945261
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:54 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/form/exclamation.gif HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:54 +0800] "GET /KenChatRoom/images/user_win.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:54 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/tools/tool-sprites.gif HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:54 +0800] "GET /KenChatRoom/images/group.png HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:54 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/editor/tb-sprite.gif HTTP/1.1" 200 2072
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:54 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/button/arrow.gif HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:54 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/toolbar/more.gif HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:54 +0800] "GET /WebSocket/message HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:55 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/sizer/s-handle.gif HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:55 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/sizer/ne-handle.gif HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:55 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/sizer/nw-handle.gif HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:55 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/sizer/sw-handle.gif HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:55 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/sizer/se-handle.gif HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:44:55 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/sizer/e-handle.gif HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:45:05 +0800] "GET /KenChatRoom/ HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:45:07 +0800] "GET /WebSocket/message HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:23 +0800] "GET /KenChatRoom/ HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:24 +0800] "GET /KenChatRoom/websocket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:24 +0800] "GET /KenChatRoom/ext4/ext-all-debug.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:24 +0800] "GET /KenChatRoom/ext4/shared/example.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:24 +0800] "GET /KenChatRoom/ext4/resources/css/ext-all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:24 +0800] "GET /KenChatRoom/css/websocket.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:26 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/form/exclamation.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:26 +0800] "GET /KenChatRoom/images/user_win.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:26 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/tools/tool-sprites.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:26 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/toolbar/more.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:26 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/button/arrow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:26 +0800] "GET /KenChatRoom/ext4/resources/themes/images/default/editor/tb-sprite.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:26 +0800] "GET /KenChatRoom/images/group.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2015:14:54:26 +0800] "GET /WebSocket/message HTTP/1.1" 404 985
